datum	Station	PH	EC	NA	MG	CA	F	CL	NO3	SO4	PO4P	CACO3	Si	NH4	TDS	NH3(ug/l)
05.01.31	A9H008Q01	8	20	10	8	13	0.18	14	0.08	3	0.03			0.07	130	2.66
05.03.16	A9H008Q01	7.5	16	8	7	11	0.12	7	0.13	3	0.015			0.03	104	1.14
05.04.04	A9H008Q01	8	16	8	7	13	0.14	9	0.12	3	0.034			0.04	104	1.52
05.05.15	A9H008Q01	7.6	18	8	8	12	0.05	9	0.04	2	0.014			0.02	117	0.76
05.05.31	A9H008Q01	7.1	18	8	8	13	0.13	12	0.04	2	0.03			0.05	117	1.90
05.06.30	A9H008Q01	7.6	19	9	8	13	0.15	10	0.04	2	0.015			0.05	123.5	1.90
05.08.15	A9H008Q01	7.9	21	11	8	13	0.05	15	0.04	2	0.02			0.02	136.5	0.76
06.04.29	A9H008Q01	7.4	16	8	6.3	9	0.11	12	0.04	2	0.013			0.02	104	0.76
06.05.30	A9H008Q01	7.8	15	7.5	7	9	0.6	12	0.04	6	0.014			0.02	97.5	0.76
06.06.14	A9H008Q01	7.8	17	9	6	11	0.14	14	0.04	2	0.022			0.046	110.5	1.75
06.08.17	A9H008Q01	7.7	18	8	8	11	0.05	15	0.12	2	0.03			0.02	117	0.76
06.09.15	A9H008Q01	7.6	20	11	8	10	0.11	13	0.22	5	0.02			0.02	130	0.76
06.10.01	A9H008Q01	8	20	12	9	13	0.15	12	0.04	2	0.027			0.076	130	2.89
06.10.17	A9H008Q01	7.8	19	10	8	11	0.14	11	0.04	5	0.03			0.02	123.5	0.76
06.12.12	A9H008Q01	8.1	17	9	8	10	0.16	13	0.04	2	0.014			0.02	110.5	0.76
06.12.15	A9H008Q01	7.9	19	9	8	11	0.13	12	0.04	2	0.03			0.1	123.5	3.80
07.01.04	A9H008Q01	7.8	14	7	6	10	0.11	12	0.04	7	0.045			0.05	91	1.90
07.01.16	A9H008Q01	7.8	16	7	7	11	0.05	12	0.04	4	0.017			0.1	104	3.80
07.02.01	A9H008Q01	7.8	16	8	7	11	0.05	9	0.04	5	0.033			0.1	104	3.80
07.04.16	A9H008Q01	8	16.4	7	6	10.6	0.14	10	0.04	2	0.027			0.12	106.6	4.56
07.06.15	A9H008Q01	8	20	10	8	12	0.11	11	0.04	2	0.016			0.04	130	1.52
07.06.18	A9H008Q01	7.8	18	9	8	11	0.17	11	0.04	2	0.012			0.067	117	2.55
07.07.15	A9H008Q01	7.7	20	10	9	13	0.15	13	0.04	6	0.013			0.05	130	1.90
07.08.02	A9H008Q01	7.6	20	9	7.6	14	0.15	12	0.04	2	0.012			0.08	130	3.04
07.08.18	A9H008Q01	8	19.5	10	8	15	0.12	10	0.04	8	0.022			0.09	126.75	3.42
07.09.01	A9H008Q01	7.9	20	11	8	14	0.12	11	0.04	7	0.006			0.084	130	3.19
07.09.15	A9H008Q01	8.1	21	11	9	15	0.21	14	0.04	2	0.03			0.052	136.5	1.98
05.01.15	A9H011Q01	7.9	46	43	16	22	0.18	57	0.07	9	0.011			0.04	299	1.52
05.03.10	A9H011Q01	7.4	25	15	9	16	0.13	19	0.09	5	0.018			0.04	162.5	1.52
05.05.18	A9H011Q01	7.8	24	15	9	14	0.14	23	0.04	2	0.016			0.02	156	0.76
05.12.01	A9H011Q01	8.2	35	22	13	24	0.14	28	0.04	4	0.042			0.02	227.5	0.76
06.01.16	A9H011Q01	7.1	13	9	5	8	0.05	12	1.5	2	0.013			0.02	84.5	0.76
06.03.15	A9H011Q01	7.8	13	7	5	8	0.11	11	0.04	2	0.02			0.02	84.5	0.76
06.05.20	A9H011Q01	7.7	13	8	5	8	0.12	15	0.04	2	0.03			0.02	84.5	0.76
06.06.09	A9H011Q01	7.7	17	10	6	9	0.12	15	0.04	2	0.012			0.02	110.5	0.76
06.07.13	A9H011Q01	7.6	15	10	6	9	1.1	14	0.04	9	0.006			0.05	97.5	1.90
06.08.15	A9H011Q01	7.8	16	11	5	8	0.11	18	0.04	2	0.006			0.02	104	0.76
06.09.27	A9H011Q01	7.8	19	12	7	11	0.13	17	0.04	2	0.02			0.02	123.5	0.76
06.10.15	A9H011Q01	8	22	14	8	14	0.16	20	0.04	2	0.019			0.02	143	0.76
06.11.11	A9H011Q01	8	23	15	9	11	0.15	21	0.04	2	0.04			0.09	149.5	3.42
06.11.30	A9H011Q01	7.8	18	9	7	12	0.12	11	0.04	2	0.013			0.12	117	4.56
06.12.12	A9H011Q01	7.9	21	13	8	13	0.18	16	0.04	5	0.019			0.02	136.5	0.76
07.01.11	A9H011Q01	8	14	8	5	9	0.12	11	0.04	2	0.019			0.06	91	2.28
07.02.16	A9H011Q01	7.9	18	12	7	12	0.14	16	0.04	2	0.014			0.064	117	2.43
07.03.17	A9H011Q01	7.8	21	12	8	11	0.12	17	0.04	7	0.024			0.1	136.5	3.80
07.03.19	A9H011Q01	7.7	17	7	7	12	0.11	11	0.04	5	0.022			0.11	110.5	4.18
07.04.16	A9H011Q01	7.8	16	8	6	10	0.13	12	0.04	2	0.04			0.11	104	4.18
07.05.16	A9H011Q01	8.3	46	32	14	29	0.28	42	0.04	20	0.027			0.07	299	2.66
07.06.19	A9H011Q01	7.9	21	12	8	12	0.05	16	0.04	8	0.017			0.08	136.5	3.04
07.08.13	A9H011Q01	7.8	20	12	8	11	0.13	16	0.194	2	0.015			0.08	130	3.04
07.09.11	A9H011Q01	8.1	23	13	10	16	0.17	18	0.04	2	0.02			0.1	149.5	3.80
07.10.05	A9H011Q01	7.7	14	9	4	9	0.13	13	0.4	10	0.05			0.075	91	2.85
05.04.01	A9H013	7.8	25	16	8	20	0.21	21	0.22	5.5	0.45			0.04	162.5	1.52
05.05.10	A9H013	7.7	24	17	8	12	0.1	27	0.04	6	0.01			0.02	156	0.76
05.05.18	A9H013	7.7	26	20	8	12	0.16	33	0.04	4	0.02			0.02	169	0.76
06.09.27	A9H013	7.7	18	14	6	8	0.21	19	0.04	7.4	0.016			0.02	117	0.76
06.10.15	A9H013	8	21	17	8	9	0.16	21	0.04	7.2	0.015			0.071	136.5	2.70
06.12.12	A9H013	8	20	14	7	8	0.14	22	0.04	4.1	0.022			0.02	130	0.76
07.01.11	A9H013	7.5	10	7	3	5	0.05	12	0.04	2	0.006			0.04	65	1.52
07.02.16	A9H013	7.7	17	14	5	8	0.11	21	0.04	4	0.006			0.06	110.5	2.28
07.04.16	A9H013	7.6	11	8	4	7	0.11	13	0.04	2	0.017			0.07	71.5	2.66
07.05.16	A9H013	7.9	18	13	6	8	0.05	18	0.04	2	0.014			0.1	117	3.80
07.06.19	A9H013	7.9	21	16	6	8	0.05	22	0.04	6	0.016			0.07	136.5	2.66
07.08.13	A9H013	8.3	22	18	8	10	0.11	24	0.179	2	0.006			0.065	143	2.47
07.09.11	A9H013	8	29	24	10	13	0.12	35	0.04	6	0.016			0.118	188.5	4.48
07.10.05	A9H013	7.7	15	14	5	7	0.05	20	0.4	2	0.03			0.1	97.5	3.80
05.02.23	B7H015Q01	7.5	52	23	28	38	0.17	18	0.07	16	0.04			0.06	338	2.28
05.03.27	B7H015Q01	7.8	39	24	19	24	0.2	22	0.07	13	0.02			0.04	253.5	1.52
05.06.23	B7H015Q01	8.4	69	50	37	33	0.4	52	0.04	75	0.014			0.02	448.5	0.76
05.08.10	B7H015Q01	8.2	78	65	43	29	0.4	72	0.08	71	0.02			0.02	507	0.76
05.09.21	B7H015Q01	8.1	78	66	46	29	0.53	68	0.04	127	0.02			0.02	507	0.76
05.10.13	B7H015Q01	8	48	32	28	22	0.33	29	0.04	36	0.04			0.08	312	3.04
05.11.07	B7H015Q01	8.1	35	10	15	32	0.26	12	1.5	10	0.03			0.06	227.5	2.28
05.11.24	B7H015Q01	7.7	57	41	21	30	0.42	46	0.9	88	0.15			0.15	370.5	5.70
05.12.01	B7H015Q01	8.2	51	37	23	30	0.34	38	0.8	50	0.015			0.02	331.5	0.76
06.02.23	B7H015Q01	8	52	35	21	39	0.34	26	0.04	67	0.012			0.02	338	0.76
06.04.06	B7H015Q01	8	36	20	15	26	0.3	19	0.24	54	0.024			0.02	234	0.76
06.05.05	B7H015Q01	8.2	37	21	16	23	0.27	21	0.19	46	0.02			0.02	240.5	0.76
06.06.01	B7H015Q01	8.2	43	27	20	31	0.3	31	0.4	51	0.022			0.02	279.5	0.76
06.06.29	B7H015Q01	7.8	48	27	23	33	0.33	33	0.04	52	0.013			0.07	312	2.66
06.09.06	B7H015Q01	8.2	64	49	36	38	0.52	55	0.33	56	0.03			0.051	416	1.94
06.09.21	B7H015Q01	8.6	65	48	35	35	0.35	54	0.26	50	0.019			0.02	422.5	0.76
06.10.19	B7H015Q01	8.5	65	52	35	36	0.36	60	0.08	58	0.02			0.02	422.5	0.76
06.11.30	B7H015Q01	8.4	34	20	15	20	0.29	22	0.52	27	0.061			0.02	221	0.76
06.12.13	B7H015Q01	8.4	50	35	22	29	0.34	41	0.04	36	0.042			0.02	325	0.76
07.01.17	B7H015Q01	8	24	9	11	17	0.17	11	0.04	32	0.022			0.1	156	3.80
07.02.22	B7H015Q01	8.4	43	25	21	26	0.37	26	0.18	36	0.046			0.09	279.5	3.42
07.03.14	B7H015Q01	8.5	32	23	17	33	0.22	8	0.04	5	0.085			0.06	208	2.28
07.03.22	B7H015Q01	8.3	44	24	23	24	0.19	26	0.04	27	0.034			0.1	286	3.80
07.04.19	B7H015Q01	8.4	42	26	22	23	0.21	26	0.76	30	0.026			0.108	273	4.10
07.05.11	B7H015Q01	8.6	52	34	24	32	0.3	34	0.21	43	0.04			0.09	338	3.42
07.06.03	B7H015Q01	8.3	58	38	32	34	0.31	41	0.09	47	0.015			0.071	377	2.70
07.06.14	B7H015Q01	8.5	59	38	30	30	0.25	42	0.099	42	0.017			0.09	383.5	3.42
07.07.12	B7H015Q01	8.2	60	40	31	33	0.29	48	0.262	55	0.027			0.07	390	2.66
07.07.14	B7H015Q01	8.4	59	39	32	28	0.32	44	0.318	49	0.028			0.085	383.5	3.23
07.08.09	B7H015Q01	8.5	61	40	31	35	0.42	49	0.152	62	0.042			0.097	396.5	3.69
07.09.06	B7H015Q01	8.4	67	52	37	35	0.31	52	0.04	62	0.032			0.113	435.5	4.29
07.10.04	B7H015Q01	8.4	70	62	35	33	0.39	65	0.26	93	0.1			0.131	455	4.98
07.11.29	B7H015Q01	8	32	20	12	21	0.24	22	0.535	21	0.042			0.02	208	0.76
05.01.31	B7H017Q01	30	8	14	12	21	0.2	13	0.08	14	0.03			0.04	195	1.52
05.02.15	B7H017Q01	41	7.7	20	18	27	0.24	23	0.6	19	0.05			0.04	266.5	1.52
05.03.15	B7H017Q01	37	7.7	18	19	25	0.2	46	0.07	5	0.04			0.06	240.5	2.28
05.03.31	B7H017Q01	38	8	20	19	26	0.2	21	0.07	17	0.05			0.24	247	9.12
05.05.16	B7H017Q01	52	8	34	27	30	0.3	40	0.04	33	0.014			0.02	338	0.76
