Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,geometry,index_right,HYBAS_ID,year_month,blue,green,red,nir08,swir16,swir22,NDMI,MNDWI,NDVI,EVI,SAVI,NMDI,FAI,turbidity,NDWI,red_green,swir_nir,swir2_nir,NDTI,BSI,AWEI,SI,blue,green,red,nir08,swir16,swir22,NDMI,MNDWI,NDVI,EVI,SAVI,NMDI,FAI,turbidity,NDWI,red_green,swir_nir,swir2_nir,NDTI,BSI,AWEI,SI
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,POINT (17.730278 -28.760833),3307,1091626650,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,POINT (28.884722 -26.861111),6020,1091609140,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,POINT (28.085833 -26.45),5926,1091606270,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,POINT (27.236944 -27.671111),5748,1091616320,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,POINT (27.286389 -27.356667),5801,1091612560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,POINT (26.69808333 -27.01011111),5690,1091610030,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,POINT (27.628889 -25.127778),934,1091590040,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,POINT (27.558 -25.20639),938,1091590110,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,POINT (27.40906 -24.69514),867,1091584200,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,POINT (26.63227778 -26.98472222),5692,1091609920,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
